timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1656432763594,3945,Create Water Storage,200,OK,Water Storage Group 1-3,text,true,,259,305,5,5,https://localhost:5001/api/water-storages,3945,0,25
1656432763195,4350,Create Water Storage,200,OK,Water Storage Group 1-1,text,true,,260,306,5,5,https://localhost:5001/api/water-storages,4350,0,32
1656432763989,3560,Create Water Storage,200,OK,Water Storage Group 1-5,text,true,,258,304,5,5,https://localhost:5001/api/water-storages,3560,0,719
1656432763410,4151,Create Water Storage,200,OK,Water Storage Group 1-2,text,true,,260,306,5,5,https://localhost:5001/api/water-storages,4151,0,12
1656432763812,3868,Create Water Storage,200,OK,Water Storage Group 1-4,text,true,,260,306,5,5,https://localhost:5001/api/water-storages,3868,0,13
1656432767838,150,Get Water Storages,200,OK,Water Storage Group 1-5,text,true,,7443,137,5,5,https://localhost:5001/api/water-storages,150,0,0
1656432767838,189,Get Water Storages,200,OK,Water Storage Group 1-1,text,true,,7443,137,5,5,https://localhost:5001/api/water-storages,188,0,0
1656432767862,216,Get Water Storages,200,OK,Water Storage Group 1-2,text,true,,7443,137,5,5,https://localhost:5001/api/water-storages,216,0,0
1656432767987,181,Get Water Storages,200,OK,Water Storage Group 1-4,text,true,,7443,137,5,5,https://localhost:5001/api/water-storages,181,0,0
1656432767838,339,Get Water Storages,200,OK,Water Storage Group 1-3,text,true,,7443,137,5,5,https://localhost:5001/api/water-storages,339,0,0
1656432768387,3690,Find Water Storage By Name,200,OK,Water Storage Group 1-2,text,true,,7928,185,5,5,https://localhost:5001/api/water-storages/search/testStorage?waterStorageName=testStorage,3690,0,0
1656432768470,3679,Find Water Storage By Name,200,OK,Water Storage Group 1-3,text,true,,7928,185,4,4,https://localhost:5001/api/water-storages/search/testStorage?waterStorageName=testStorage,3679,0,0
1656432768340,3922,Find Water Storage By Name,200,OK,Water Storage Group 1-1,text,true,,7928,185,3,3,https://localhost:5001/api/water-storages/search/testStorage?waterStorageName=testStorage,3921,0,0
1656432768455,4080,Find Water Storage By Name,200,OK,Water Storage Group 1-4,text,true,,7928,185,2,2,https://localhost:5001/api/water-storages/search/testStorage?waterStorageName=testStorage,4080,0,0
1656432768293,7951,Find Water Storage By Name,200,OK,Water Storage Group 1-5,text,true,,7928,185,1,1,https://localhost:5001/api/water-storages/search/testStorage?waterStorageName=testStorage,7951,0,0
1656432776330,263,Create Measurement,200,OK,Measurement Group 2-1,text,true,,331,370,2,2,https://localhost:5001/api/measurements,263,0,12
1656432776497,263,Create Measurement,200,OK,Measurement Group 2-2,text,true,,331,370,3,3,https://localhost:5001/api/measurements,263,0,11
1656432776763,271,Create Measurement,200,OK,Measurement Group 2-3,text,true,,332,371,4,4,https://localhost:5001/api/measurements,270,0,11
1656432776785,295,Get Measurements,200,OK,Measurement Group 2-1,text,true,,20552,135,5,5,https://localhost:5001/api/measurements,293,0,0
1656432776918,343,Get Measurements,200,OK,Measurement Group 2-2,text,true,,20738,135,5,5,https://localhost:5001/api/measurements,343,0,0
1656432776966,386,Create Measurement,200,OK,Measurement Group 2-4,text,true,,331,370,5,5,https://localhost:5001/api/measurements,386,0,10
1656432777223,168,Get Measurements By Storge Id,200,OK,Measurement Group 2-1,text,true,,6513,166,5,5,https://localhost:5001/api/measurements/get-measurements-by-storage/11,168,0,0
1656432777129,434,Get Measurements,200,OK,Measurement Group 2-3,text,true,,20738,135,4,4,https://localhost:5001/api/measurements,433,0,0
1656432777448,214,Get Measurements By Storge Id,200,OK,Measurement Group 2-2,text,true,,8901,166,4,4,https://localhost:5001/api/measurements/get-measurements-by-storage/12,213,0,0
1656432777430,344,Get Measurements,200,OK,Measurement Group 2-4,text,true,,21109,135,3,3,https://localhost:5001/api/measurements,343,0,0
1656432777635,180,Get Measurements By Storge Id,200,OK,Measurement Group 2-3,text,true,,8901,166,3,3,https://localhost:5001/api/measurements/get-measurements-by-storage/12,180,0,0
1656432777228,774,Create Measurement,200,OK,Measurement Group 2-5,text,true,,332,371,2,2,https://localhost:5001/api/measurements,774,0,10
1656432777886,149,Get Measurements By Storge Id,200,OK,Measurement Group 2-4,text,true,,8901,166,2,2,https://localhost:5001/api/measurements/get-measurements-by-storage/12,149,0,0
1656432778199,293,Get Measurements,200,OK,Measurement Group 2-5,text,true,,21109,135,1,1,https://localhost:5001/api/measurements,292,0,0
1656432778734,147,Get Measurements By Storge Id,200,OK,Measurement Group 2-5,text,true,,6513,166,1,1,https://localhost:5001/api/measurements/get-measurements-by-storage/11,147,0,0
1656432779291,149,Register,200,OK,User Group 3-1,text,true,,205,335,3,3,https://localhost:5001/api/users/register,149,0,11
1656432779304,158,Register,200,OK,User Group 3-3,text,true,,205,335,3,3,https://localhost:5001/api/users/register,158,0,11
1656432779364,156,Register,200,OK,User Group 3-2,text,true,,205,335,4,4,https://localhost:5001/api/users/register,156,0,11
1656432779944,163,Register,200,OK,User Group 3-4,text,true,,205,335,5,5,https://localhost:5001/api/users/register,163,0,12
1656432779561,550,Generate Token,200,OK,User Group 3-2,text,true,,827,256,5,5,https://localhost:5001/api/users/token,550,0,0
1656432779557,559,Generate Token,200,OK,User Group 3-1,text,true,,828,256,5,5,https://localhost:5001/api/users/token,559,0,0
1656432780511,3794,Register,200,OK,User Group 3-5,text,true,,205,335,5,5,https://localhost:5001/api/users/register,3794,0,11
1656432779765,4662,Generate Token,200,OK,User Group 3-3,text,true,,829,256,5,5,https://localhost:5001/api/users/token,4662,0,0
1656432780290,4297,Get Users,200,OK,User Group 3-2,text,true,,8602,128,5,5,https://localhost:5001/api/users,4297,0,0
1656432780805,3829,Get Users,200,OK,User Group 3-1,text,true,,8602,128,4,4,https://localhost:5001/api/users,3829,0,0
1656432780122,4640,Generate Token,200,OK,User Group 3-4,text,true,,825,256,3,3,https://localhost:5001/api/users/token,4640,0,0
1656432784748,6320,Generate Token,200,OK,User Group 3-5,text,true,,828,256,3,3,https://localhost:5001/api/users/token,6320,0,0
1656432791153,370,Get Users,200,OK,User Group 3-5,text,true,,8602,128,3,3,https://localhost:5001/api/users,370,0,0
1656432784800,23013,Get Users,200,OK,User Group 3-3,text,true,,8602,128,2,2,https://localhost:5001/api/users,23013,0,0
1656432784912,29115,Get Users,200,OK,User Group 3-4,text,true,,8602,128,1,1,https://localhost:5001/api/users,29114,0,0
